"","orfno","neg_N","neg_C","neg_C_LDAO","neg_MSGC.24","neg_MSGC.28","neg_MSGC.7","neg_MSGC.9","neg_MSGC.9_LDAO","pos_N","pos_C","pos_C_LDAO","pos_MSGC.24","pos_MSGC.28","pos_MSGC.7","pos_MSGC.9","pos_MSGC.9_LDAO","Analyze","N","C","C_LDAO","MSGC.24","MSGC.28","MSGC.7","MSGC.9","MSGC.9_LDAO","sum","tot_neg","tot_pos","pos_neg"
"75431466",44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"75353805",45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"75431787",46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"75431795",47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"75354510",48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"75434852",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
"75360358",50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"81349223",51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"56695381",53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"81599513",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
"60389898",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0"
"55232686",57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"74552570",58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"74552748",59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"pos"
"74520513",60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
"74553230",61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,1,0,"neg"
