No,Code,Vector,Outcome
66,hp0969,TEV / A,0
67,hp0983,TEV / A,2
68,hp1016,TEV / A,3
69,hp1017,TEV / A,0
70,hp1041,TEV / A,3
71,hp1044,TEV / A,2
72,hp1061,TEV / A,3
73,hp1069,TEV / A,2
74,hp1071,TEV / A,3
75,hp1072,TEV / A,3
76,hp1077,TEV / A,2
77,hp1082,TEV / A,3
78,hp1090,TEV / A,2
79,hp1091,TEV / A,3
80,hp1130,TEV / A,3
81,hp1162,TEV / A,1
82,hp1168,TEV / A,0
83,hp1169,TEV / A,0
84,hp1170,TEV / A,1
85,hp1174,TEV / A,3
86,hp1175,TEV / A,3
87,hp1180,TEV / A,0
88,hp1181,TEV / A,3
89,hp1183,TEV / A,0
90,hp1184,TEV / A,1
91,hp1185,TEV / A,x
92,hp1206,TEV / A,2
93,hp1234,TEV / A,3
94,hp1251,TEV / A,x
95,hp1255,TEV / A,3
96,hp1258,TEV / A,3
97,hp1300,TEV / A,0
98,hp1329,TEV / A,3
99,hp1339,TEV / A,1
100,hp1343,TEV / A,1
101,hp1344,TEV / A,3
102,hp1360,TEV / A,1
103,hp1361,TEV / A,1
104,hp1419,TEV / A,3
105,hp1445,TEV / A,3
106,hp1450,TEV / A,2
107,hp1466,TEV / A,1
108,hp1484,TEV / A,1
109,hp1486,TEV / A,3
110,hp1491,TEV / A,2
111,hp1503,TEV / A,0
112,hp1506,TEV / A,0
113,hp1508,TEV / A,3
114,hp1509,TEV / A,0
115,hp1539,TEV / A,3
116,hp1548,TEV / A,3
117,hp1552,TEV / A,3
118,hp1560,TEV / A,0
119,hp1577,TEV / A,3
120,hp1581,TEV / A,0
1,hp0471,LAC / M,0
2,hp0743,LAC / M,0
3,hp0055,LAC / M,0
4,hp0071,LAC / M,0
5,hp0074,LAC / M,2
6,hp0133,LAC / M,0
7,hp0140,LAC / M,0
8,hp0141,LAC / M,0
9,hp0173,LAC / M,x
10,hp0180,LAC / M,0
11,hp0189,LAC / M,0
12,hp0214,LAC / M,0
13,hp0215,LAC / M,0
14,hp0226,LAC / M,0
15,hp0228,LAC / M,0
16,hp0251,LAC / M,0
17,hp0258,LAC / M,0
18,hp0265,LAC / M,0
19,hp0284,LAC / M,0
20,hp0286,LAC / M,0
21,hp0288,LAC / M,x
22,hp0299,LAC / M,0
23,hp0300,LAC / M,x
24,hp0307,LAC / M,3
25,hp0342,LAC / M,x
26,hp0362,LAC / M,0
27,hp0375,LAC / M,0
28,hp0378,LAC / M,x
29,hp0382,LAC / M,0
30,hp0415,LAC / M,1
31,hp0474,LAC / M,0
32,hp0490,LAC / M,3
33,hp0493,LAC / M,0
34,hp0497,LAC / M,x
35,hp0498,LAC / M,3
36,hp0565,LAC / M,3
37,hp0571,LAC / M,x
38,hp0600,LAC / M,0
39,hp0607,LAC / M,x
40,hp0622,LAC / M,x
41,hp0633,LAC / M,2
42,hp0644,LAC / M,x
43,hp0684,LAC / M,0
44,hp0685,LAC / M,0
45,hp0687,LAC / M,0
46,hp0693,LAC / M,0
47,hp0700,LAC / M,0
48,hp0724,LAC / M,0
49,hp0737,LAC / M,0
50,hp0740,LAC / M,0
51,hp0749,LAC / M,0
52,hp0758,LAC / M,0
53,hp0787,LAC / M,0
54,hp0791,LAC / M,0
55,hp0818,LAC / M,x
56,hp0851,LAC / M,0
57,hp0855,LAC / M,0
58,hp0861,LAC / M,0
59,hp0889,LAC / M,x
60,hp0920,LAC / M,0
61,hp0927,LAC / M,0
62,hp0936,LAC / M,0
63,hp0939,LAC / M,0
64,hp0942,LAC / M,2
65,hp0955,LAC / M,0
66,hp0969,LAC / M,0
67,hp0983,LAC / M,0
68,hp1016,LAC / M,0
69,hp1017,LAC / M,0
70,hp1041,LAC / M,0
71,hp1044,LAC / M,0
72,hp1061,LAC / M,2
73,hp1069,LAC / M,2
74,hp1071,LAC / M,0
75,hp1072,LAC / M,0
76,hp1077,LAC / M,2
77,hp1082,LAC / M,0
78,hp1090,LAC / M,0
79,hp1091,LAC / M,0
80,hp1130,LAC / M,3
81,hp1162,LAC / M,x
82,hp1168,LAC / M,3
83,hp1169,LAC / M,0
84,hp1170,LAC / M,x
85,hp1174,LAC / M,3
86,hp1175,LAC / M,x
87,hp1180,LAC / M,0
88,hp1181,LAC / M,0
89,hp1183,LAC / M,0
90,hp1184,LAC / M,x
91,hp1185,LAC / M,x
92,hp1206,LAC / M,0
93,hp1234,LAC / M,2
94,hp1251,LAC / M,0
95,hp1255,LAC / M,x
96,hp1258,LAC / M,x
97,hp1300,LAC / M,0
98,hp1329,LAC / M,0
99,hp1339,LAC / M,3
100,hp1343,LAC / M,2
101,hp1344,LAC / M,3
102,hp1360,LAC / M,x
103,hp1361,LAC / M,0
104,hp1419,LAC / M,x
105,hp1445,LAC / M,3
106,hp1450,LAC / M,x
107,hp1466,LAC / M,0
108,hp1484,LAC / M,0
109,hp1486,LAC / M,0
110,hp1491,LAC / M,x
111,hp1503,LAC / M,0
112,hp1506,LAC / M,0
113,hp1508,LAC / M,0
114,hp1509,LAC / M,0
115,hp1539,LAC / M,0
116,hp1548,LAC / M,x
117,hp1552,LAC / M,0
118,hp1560,LAC / M,0
119,hp1577,LAC / M,3
120,hp1581,LAC / M,0
1,hp0471,LAC / A,0
2,hp0743,LAC / A,3
3,hp0055,LAC / A,3
4,hp0071,LAC / A,1
5,hp0074,LAC / A,3
6,hp0133,LAC / A,1
7,hp0140,LAC / A,1
8,hp0141,LAC / A,1
9,hp0173,LAC / A,x
10,hp0180,LAC / A,2
11,hp0189,LAC / A,3
12,hp0214,LAC / A,1
13,hp0215,LAC / A,1
14,hp0226,LAC / A,0
15,hp0228,LAC / A,3
16,hp0251,LAC / A,2
17,hp0258,LAC / A,0
18,hp0265,LAC / A,1
19,hp0284,LAC / A,2
20,hp0286,LAC / A,2
21,hp0288,LAC / A,x
22,hp0299,LAC / A,2
23,hp0300,LAC / A,x
24,hp0307,LAC / A,3
25,hp0342,LAC / A,3
26,hp0362,LAC / A,0
27,hp0375,LAC / A,2
28,hp0378,LAC / A,x
29,hp0382,LAC / A,3
30,hp0415,LAC / A,3
31,hp0474,LAC / A,0
32,hp0490,LAC / A,3
33,hp0493,LAC / A,0
34,hp0497,LAC / A,2
35,hp0498,LAC / A,0
36,hp0565,LAC / A,3
37,hp0571,LAC / A,2
38,hp0600,LAC / A,0
39,hp0607,LAC / A,x
40,hp0622,LAC / A,x
41,hp0633,LAC / A,3
42,hp0644,LAC / A,0
43,hp0684,LAC / A,0
44,hp0685,LAC / A,2
45,hp0687,LAC / A,0
46,hp0693,LAC / A,0
47,hp0700,LAC / A,1
48,hp0724,LAC / A,0
49,hp0737,LAC / A,1
50,hp0740,LAC / A,3
51,hp0749,LAC / A,3
52,hp0758,LAC / A,0
53,hp0787,LAC / A,3
54,hp0791,LAC / A,2
55,hp0818,LAC / A,x
56,hp0851,LAC / A,3
57,hp0855,LAC / A,0
58,hp0861,LAC / A,x
59,hp0889,LAC / A,x
60,hp0920,LAC / A,1
61,hp0927,LAC / A,3
62,hp0936,LAC / A,0
63,hp0939,LAC / A,3
64,hp0942,LAC / A,3
65,hp0955,LAC / A,3
66,hp0969,LAC / A,0
67,hp0983,LAC / A,3
68,hp1016,LAC / A,1
69,hp1017,LAC / A,2
70,hp1041,LAC / A,2
71,hp1044,LAC / A,2
72,hp1061,LAC / A,2
73,hp1069,LAC / A,3
74,hp1071,LAC / A,2
75,hp1072,LAC / A,3
76,hp1077,LAC / A,3
77,hp1082,LAC / A,3
78,hp1090,LAC / A,0
79,hp1091,LAC / A,1
80,hp1130,LAC / A,3
81,hp1162,LAC / A,x
