Protein,E. coli strain,Vector,Measurement,Outcome
MMP0681,C43(DE3),pTTQ18,Scanning Densitometry of SDS-PAGE (%),3
SSO2042,C43(DE3),pET52b(+),Scanning Densitometry of SDS-PAGE (%),3
SSO2042,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),3
SSO2042,BL21 Star,pET52b(+),Scanning Densitometry of SDS-PAGE (%),3
Mevan1511,BL21 Star,pET52b(+),Scanning Densitometry of SDS-PAGE (%),3
MMP0681,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),4
Mevan1511,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),5
Mevan1511,C43(DE3),pTTQ18,Scanning Densitometry of SDS-PAGE (%),6
SSO2938,BL21 Star,pET52b(+),Scanning Densitometry of SDS-PAGE (%),7
Hbor39700,BL21 Star,pWarf(-),Scanning Densitometry of SDS-PAGE (%),10
Hbor39700,C43(DE3),pET52b(+),Scanning Densitometry of SDS-PAGE (%),12
Hbor39700,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),12
pNG7043,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),15
Hbor39700,BL21 Star,pET52b(+),Scanning Densitometry of SDS-PAGE (%),15
Hbor39700,C43(DE3),pTTQ18,Scanning Densitometry of SDS-PAGE (%),16
pNG7043,BL21 Star,pWarf(-),Scanning Densitometry of SDS-PAGE (%),21
MA1518,BL21 Star,pTTQ18,Scanning Densitometry of SDS-PAGE (%),29
pNG7043,C43(DE3),pTTQ18,Scanning Densitometry of SDS-PAGE (%),30
MA1518,BL21 Star,pET52b(+),Scanning Densitometry of SDS-PAGE (%),31
MA1518,C43(DE3),pET52b(+),Scanning Densitometry of SDS-PAGE (%),34
MA1518,C43(DE3),pTTQ18,Scanning Densitometry of SDS-PAGE (%),35
SSO2938,C43(DE3),pTTQ18,Induction OD,0.592
SSO2938,C43(DE3),pET52b(+),Induction OD,0.435
SSO2938,C43(DE3),pWarf(-),Induction OD,0.616
SSO2528,C43(DE3),pTTQ18,Induction OD,0.45
SSO2528,C43(DE3),pET52b(+),Induction OD,0.485
SSO2528,C43(DE3),pWarf(-),Induction OD,0.42
SSO2042,C43(DE3),pTTQ18,Induction OD,0.59
SSO2042,C43(DE3),pET52b(+),Induction OD,0.665
SSO2042,C43(DE3),pWarf(-),Induction OD,0.615
SSO1665,C43(DE3),pTTQ18,Induction OD,0.524
SSO1665,C43(DE3),pET52b(+),Induction OD,0.6
SSO1665,C43(DE3),pWarf(-),Induction OD,0.572
Saci2039,C43(DE3),pTTQ18,Induction OD,0.415
Saci2039,C43(DE3),pET52b(+),Induction OD,0.455
Saci2039,C43(DE3),pWarf(-),Induction OD,0.43
MA1518,C43(DE3),pTTQ18,Induction OD,0.668
MA1518,C43(DE3),pET52b(+),Induction OD,0.52
MA1518,C43(DE3),pWarf(-),Induction OD,0.596
MJ1319,C43(DE3),pTTQ18,Induction OD,0.556
