Family,Source,organism,GI number,Vector,Outcome
24,MFS,P. furiosus,18976892,pBAD-A,0
25,MFS,S. typhimurium,16764711,pBAD-A,100
26,MIT,A. aeolicus,15606202,pBAD-A,100
27,MIT,P. furiosus,18978408,pBAD-A,100
28,NCS1,S. typhimurium,16419032,pBAD-A,10
29,NCS1,S. typhimurium,16421891,pBAD-A,0
30,NCS2,P. furiosus,18977224,pBAD-A,0
31,NCS2,P. furiosus,18977612,pBAD-A,10
32,NCS2,S. typhimurium,16419034,pBAD-A,0
33,NCS2,S. typhimurium,16421039,pBAD-A,0
34,NCS2,S. typhimurium,16422196,pBAD-A,10
35,NSS,A. aeolicus,15607041,pBAD-A,100
36,Trk,A. aeolicus,15606659,pBAD-A,0
37,Trk,S. typhimurium,16422552,pBAD-A,10
1,AEC,A. aeolicus,15606582,pBAD-C,0
2,AEC,P. furiosus,33359482,pBAD-C,10
3,AGCS,S. typhimurium,16418499,pBAD-C,0
4,AGCS,P. furiosus,18976886,pBAD-C,0
5,APC,S. typhimurium,16419208,pBAD-C,10
6,APC,S. typhimurium,16419480,pBAD-C,10
7,APC,S. typhimurium,16419996,pBAD-C,0
8,APC,S. typhimurium,16420738,pBAD-C,0
9,APC,S. typhimurium,16420900,pBAD-C,0
10,DAACS,S. typhimurium,16421782,pBAD-C,100
11,DAACS,A. aeolicus,15606533,pBAD-C,0
12,DASS,A. aeolicus,15605634,pBAD-C,0
13,DASS,S. typhimurium,16421721,pBAD-C,0
14,DASS,S. typhimurium,16421915,pBAD-C,0
15,DMT,S. typhimurium,16419338,pBAD-C,100
16,DMT,S. typhimurium,16422334,pBAD-C,0
17,ESS,S. typhimurium,16767031,pBAD-C,0
18,GntP,S. typhimurium,16421462,pBAD-C,0
19,GntP,S. typhimurium,16422071,pBAD-C,0
20,GntP,S. typhimurium,16422100,pBAD-C,0
21,GntP,S. typhimurium,16422374,pBAD-C,0
22,GntP,S. typhimurium,16423047,pBAD-C,0
23,MFS,A. aeolicus,15606460,pBAD-C,100
24,MFS,P. furiosus,18976892,pBAD-C,0
25,MFS,S. typhimurium,16764711,pBAD-C,100
26,MIT,A. aeolicus,15606202,pBAD-C,0
27,MIT,P. furiosus,18978408,pBAD-C,100
28,NCS1,S. typhimurium,16419032,pBAD-C,0
29,NCS1,S. typhimurium,16421891,pBAD-C,0
30,NCS2,P. furiosus,18977224,pBAD-C,0
31,NCS2,P. furiosus,18977612,pBAD-C,0
32,NCS2,S. typhimurium,16419034,pBAD-C,0
33,NCS2,S. typhimurium,16421039,pBAD-C,0
34,NCS2,S. typhimurium,16422196,pBAD-C,CF
35,NSS,A. aeolicus,15607041,pBAD-C,NT
36,Trk,A. aeolicus,15606659,pBAD-C,0
37,Trk,S. typhimurium,16422552,pBAD-C,CF
1,AEC,A. aeolicus,15606582,pQE-A,0
2,AEC,P. furiosus,33359482,pQE-A,0
3,AGCS,S. typhimurium,16418499,pQE-A,0
4,AGCS,P. furiosus,18976886,pQE-A,0
5,APC,S. typhimurium,16419208,pQE-A,10
6,APC,S. typhimurium,16419480,pQE-A,10
7,APC,S. typhimurium,16419996,pQE-A,0
8,APC,S. typhimurium,16420738,pQE-A,100
9,APC,S. typhimurium,16420900,pQE-A,0
10,DAACS,S. typhimurium,16421782,pQE-A,0
11,DAACS,A. aeolicus,15606533,pQE-A,0
12,DASS,A. aeolicus,15605634,pQE-A,0
13,DASS,S. typhimurium,16421721,pQE-A,0
